column_1,value,name,club,nation,position,age,link
47,"€40.00m","Mykhaylo Mudryk","Shakhtar Donetsk",Ukraine,"Left Winger",21,https://fminside.net/players/3-fm-23/71101331-mykhaylo-mudryk
48,"€40.00m","Anthony Gordon","Everton FC",England,"Left Winger",21,https://fminside.net/players/3-fm-23/28116386-anthony-gordon
49,"€40.00m","Allan Saint-Maximin","Newcastle United",France,"Left Winger",25,https://fminside.net/players/3-fm-23/85132406-allan-saint-maximin
50,"€40.00m","Ángel Correa","Atlético de Madrid",Argentina,"Right Winger",27,https://fminside.net/players/3-fm-23/14043349-angel-correa
51,"€38.00m","Yéremy Pino","Villarreal CF",Spain,"Right Winger",20,https://fminside.net/players/3-fm-23/67295650-yeremy-pino
52,"€38.00m","Amine Gouiri","Stade Rennais FC",France,Centre-Forward,22,https://fminside.net/players/3-fm-23/48044735-amine-gouiri
53,"€38.00m","Christian Pulisic","Chelsea FC","United States","Right Winger",24,https://fminside.net/players/3-fm-23/92074020-christian-pulisic
54,"€38.00m","Patrik Schick","Bayer 04 Leverkusen","Czech Republic",Centre-Forward,26,https://fminside.net/players/3-fm-23/25042141-patrik-schick
55,"€37.00m","Randal Kolo Muani","Eintracht Frankfurt",France,Centre-Forward,24,https://fminside.net/players/3-fm-23/48043873-randal-kolo-muani
56,"€35.00m","Karim Adeyemi","Borussia Dortmund",Germany,"Right Winger",20,https://fminside.net/players/3-fm-23/16279486-karim-adeyemi
57,"€35.00m","Martin Terrier","Stade Rennais FC",France,"Left Winger",25,https://fminside.net/players/3-fm-23/48042204-martin-terrier
58,"€35.00m","Giacomo Raspadori","SSC Napoli",Italy,"Second Striker",22,https://fminside.net/players/3-fm-23/43316850-giacomo-raspadori
59,"€35.00m","Ferran Torres","FC Barcelona",Spain,"Left Winger",22,https://fminside.net/players/3-fm-23/89056845-ferran-torres
60,"€35.00m","Arnaut Danjuma","Villarreal CF",Netherlands,Centre-Forward,25,https://fminside.net/players/3-fm-23/37051305-arnaut-danjuma
61,"€35.00m","Sébastien Haller","Borussia Dortmund","Cote d'Ivoire",Centre-Forward,28,https://fminside.net/players/3-fm-23/85051578-sebastien-haller
62,"€35.00m","Gerard Moreno","Villarreal CF",Spain,Centre-Forward,30,https://fminside.net/players/3-fm-23/67115823-gerard-moreno
63,"€35.00m","Karim Benzema","Real Madrid",France,Centre-Forward,35,https://fminside.net/players/3-fm-23/8435089-karim-benzema
64,"€32.00m","Pedro Neto","Wolverhampton Wanderers",Portugal,"Left Winger",22,https://fminside.net/players/3-fm-23/29179717-pedro-neto
65,"€32.00m","Ollie Watkins","Aston Villa",England,Centre-Forward,27,https://fminside.net/players/3-fm-23/29110623-ollie-watkins
66,"€32.00m","Marcus Thuram","Borussia Mönchengladbach",France,Centre-Forward,25,https://fminside.net/players/3-fm-23/48037335-marcus-thuram
67,"€32.00m","Gonçalo Guedes","Wolverhampton Wanderers",Portugal,"Left Winger",26,https://fminside.net/players/3-fm-23/55041710-goncalo-guedes
68,"€32.00m","Wilfried Zaha","Crystal Palace","Cote d'Ivoire","Left Winger",30,https://fminside.net/players/3-fm-23/28051378-wilfried-zaha
69,"€30.00m","Armando Broja","Chelsea FC",Albania,Centre-Forward,21,https://fminside.net/players/3-fm-23/28121369-armando-broja
70,"€30.00m","Gonçalo Ramos","SL Benfica",Portugal,Centre-Forward,21,https://fminside.net/players/3-fm-23/83209468-goncalo-ramos
71,"€30.00m","Youssoufa Moukoko","Borussia Dortmund",Germany,Centre-Forward,18,https://fminside.net/players/3-fm-23/2000074825-youssoufa-moukoko
72,"€30.00m","Pedro Gonçalves","Sporting CP",Portugal,"Left Winger",24,https://fminside.net/players/3-fm-23/29192705-pedro-goncalves
73,"€30.00m","Gianluca Scamacca","West Ham United",Italy,Centre-Forward,24,https://fminside.net/players/3-fm-23/37053643-gianluca-scamacca
74,"€30.00m","Dominic Calvert-Lewin","Everton FC",England,Centre-Forward,25,https://fminside.net/players/3-fm-23/29123128-dominic-calvert-lewin
75,"€30.00m",Otávio,"FC Porto",Portugal,"Right Winger",27,https://fminside.net/players/3-fm-23/19186901-otavio
76,"€30.00m","Paulo Dybala","AS Roma",Argentina,"Second Striker",29,https://fminside.net/players/3-fm-23/14044150-paulo-dybala
77,"€30.00m","Riyad Mahrez","Manchester City",Algeria,"Right Winger",31,https://fminside.net/players/3-fm-23/85078058-riyad-mahrez
78,"€30.00m","Leandro Trossard","Brighton & Hove Albion",Belgium,"Left Winger",28,https://fminside.net/players/3-fm-23/18054004-leandro-trossard
79,"€30.00m","Yannick Carrasco","Atlético de Madrid",Belgium,"Left Winger",29,https://fminside.net/players/3-fm-23/18027198-yannick-carrasco
80,"€28.00m","Bryan Mbeumo","Brentford FC",Cameroon,"Right Winger",23,https://fminside.net/players/3-fm-23/48042658-bryan-mbeumo
81,"€28.00m","Emiliano Buendía","Aston Villa",Argentina,"Right Winger",26,https://fminside.net/players/3-fm-23/67201783-emiliano-buendia
82,"€28.00m","Hirving Lozano","SSC Napoli",Mexico,"Right Winger",27,https://fminside.net/players/3-fm-23/51042313-hirving-lozano
83,"€28.00m","Roberto Firmino","Liverpool FC",Brazil,Centre-Forward,31,https://fminside.net/players/3-fm-23/19068857-roberto-firmino
84,"€28.00m","Aleksandar Mitrović","Fulham FC",Serbia,Centre-Forward,28,https://fminside.net/players/3-fm-23/62096282-aleksandar-mitrovic
85,"€27.00m","Steven Bergwijn","Ajax Amsterdam",Netherlands,"Left Winger",25,https://fminside.net/players/3-fm-23/37050140-steven-bergwijn
86,"€25.00m","Hugo Ekitiké","Paris Saint-Germain",France,Centre-Forward,20,https://fminside.net/players/3-fm-23/49062667-hugo-ekitike
87,"€25.00m","Nico Williams","Athletic Bilbao",Spain,"Right Winger",20,https://fminside.net/players/3-fm-23/67276230-nico-williams
88,"€25.00m","Arnaud Kalimuendo","Stade Rennais FC",France,Centre-Forward,20,https://fminside.net/players/3-fm-23/49048445-arnaud-kalimuendo
89,"€25.00m","Anthony Elanga","Manchester United",Sweden,"Left Winger",20,https://fminside.net/players/3-fm-23/28121568-anthony-elanga
90,"€25.00m","Jack Harrison","Leeds United",England,"Left Winger",26,https://fminside.net/players/3-fm-23/72045910-jack-harrison
91,"€25.00m","Callum Hudson-Odoi","Bayer 04 Leverkusen",England,"Left Winger",22,https://fminside.net/players/3-fm-23/28112986-callum-hudson-odoi
92,"€25.00m","Leon Bailey","Aston Villa",Jamaica,"Left Winger",25,https://fminside.net/players/3-fm-23/18083491-leon-bailey
93,"€25.00m",Tetê,"Olympique Lyon",Brazil,"Right Winger",22,https://fminside.net/players/3-fm-23/37039829-kenny-tete
94,"€25.00m","Noah Okafor","Red Bull Salzburg",Switzerland,Centre-Forward,22,https://fminside.net/players/3-fm-23/98040226-noah-okafor
95,"€25.00m","Marcus Edwards","Sporting CP",England,"Right Winger",24,https://fminside.net/players/3-fm-23/28106878-marcus-edwards
96,"€25.00m","Marco Asensio","Real Madrid",Spain,"Right Winger",26,https://fminside.net/players/3-fm-23/67197125-marco-asensio
97,"€25.00m","Borja Iglesias","Real Betis Balompié",Spain,Centre-Forward,29,https://fminside.net/players/3-fm-23/67173048-borja-iglesias
98,"€25.00m","Iñaki Williams","Athletic Bilbao",Ghana,Centre-Forward,28,https://fminside.net/players/3-fm-23/67184349-inaki-williams
99,"€25.00m","Enes Ünal","Getafe CF",Turkey,Centre-Forward,25,https://fminside.net/players/3-fm-23/70087488-enes-unal
100,"€25.00m","Timo Werner","RB Leipzig",Germany,Centre-Forward,26,https://fminside.net/players/3-fm-23/92051583-timo-werner
101,"€25.00m","Álvaro Morata","Atlético de Madrid",Spain,Centre-Forward,30,https://fminside.net/players/3-fm-23/67117360-alvaro-morata
102,"€25.00m","Antoine Griezmann","Atlético de Madrid",France,"Second Striker",31,https://fminside.net/players/3-fm-23/67086656-antoine-griezmann
103,"€24.00m",Malcom,"Zenit St. Petersburg",Brazil,"Right Winger",25,https://fminside.net/players/3-fm-23/19229435-malcom
104,"€24.00m","André Silva","RB Leipzig",Portugal,Centre-Forward,27,https://fminside.net/players/3-fm-23/55041694-andre-silva
105,"€23.00m","Nicolás González","ACF Fiorentina",Argentina,"Left Winger",24,https://fminside.net/players/3-fm-23/14181375-nicolas-gonzalez
106,"€23.00m","Rafa Silva","SL Benfica",Portugal,"Second Striker",29,https://fminside.net/players/3-fm-23/19153072-rafa-silva
107,"€23.00m","Domenico Berardi","US Sassuolo",Italy,"Right Winger",28,https://fminside.net/players/3-fm-23/43094553-domenico-berardi
108,"€23.00m","Ciro Immobile","SS Lazio",Italy,Centre-Forward,32,https://fminside.net/players/3-fm-23/43010773-ciro-immobile
109,"€22.00m",Evanilson,"FC Porto",Brazil,Centre-Forward,23,https://fminside.net/players/3-fm-23/19342183-evanilson
110,"€22.00m","Luis Sinisterra","Leeds United",Colombia,"Left Winger",23,https://fminside.net/players/3-fm-23/76047347-luis-sinisterra
111,"€22.00m","David Neres","SL Benfica",Brazil,"Right Winger",25,https://fminside.net/players/3-fm-23/19260918-david-neres
112,"€22.00m","Ismaïla Sarr","Watford FC",Senegal,"Right Winger",24,https://fminside.net/players/3-fm-23/48042766-ismaila-sarr
113,"€22.00m","Ché Adams","Southampton FC",Scotland,Centre-Forward,26,https://fminside.net/players/3-fm-23/90055302-che-adams
114,"€22.00m","Nicolas Pépé","OGC Nice","Cote d'Ivoire","Right Winger",27,https://fminside.net/players/3-fm-23/85136376-nicolas-pepe
115,"€22.00m","Saïd Benrahma","West Ham United",Algeria,"Left Winger",27,https://fminside.net/players/3-fm-23/48036788-said-benrahma
116,"€22.00m","Mattia Zaccagni","SS Lazio",Italy,"Left Winger",27,https://fminside.net/players/3-fm-23/43125343-mattia-zaccagni
117,"€22.00m","Viktor Tsygankov","Dynamo Kyiv",Ukraine,"Right Winger",25,https://fminside.net/players/3-fm-23/71080414-viktor-tsygankov
118,"€22.00m","Gabriel Barbosa","CR Flamengo",Brazil,Centre-Forward,26,https://fminside.net/players/3-fm-23/30035404-gabriel-barbosa
119,"€20.00m",Endrick,"Sociedade Esportiva Palmeiras",Brazil,Centre-Forward,16,https://fminside.net/players/3-fm-23/18058287-gaetan-hendrickx
120,"€20.00m","Mathys Tel","Bayern Munich",France,Centre-Forward,17,https://fminside.net/players/3-fm-23/2000104850-mathys-tel
121,"€20.00m","Benjamin Sesko","Red Bull Salzburg",Slovenia,Centre-Forward,19,https://fminside.net/players/3-fm-23/62246208-benjamin-eko
122,"€20.00m","João Pedro","Watford FC",Brazil,Centre-Forward,21,https://fminside.net/players/3-fm-23/19069586-joao-pedro
123,"€20.00m","Matheus Cunha","Wolverhampton Wanderers",Brazil,Centre-Forward,23,https://fminside.net/players/3-fm-23/19334410-matheus-cunha
124,"€20.00m","Brennan Johnson","Nottingham Forest",Wales,"Second Striker",21,https://fminside.net/players/3-fm-23/29189400-brennan-johnson
125,"€20.00m",Pedro,"CR Flamengo",Brazil,Centre-Forward,25,https://fminside.net/players/3-fm-23/29192705-pedro-goncalves
126,"€20.00m","Francisco Trincão","Sporting CP",Portugal,"Right Winger",23,https://fminside.net/players/3-fm-23/83137935-francisco-trincao
127,"€20.00m","Ademola Lookman","Atalanta BC",Nigeria,"Left Winger",25,https://fminside.net/players/3-fm-23/29141828-ademola-lookman
128,"€20.00m","Samuel Chukwueze","Villarreal CF",Nigeria,"Right Winger",23,https://fminside.net/players/3-fm-23/67269484-samuel-chukwueze
129,"€20.00m","Patson Daka","Leicester City",Zambia,Centre-Forward,24,https://fminside.net/players/3-fm-23/13158264-patson-daka
130,"€20.00m","Moise Kean","Juventus FC",Italy,Centre-Forward,22,https://fminside.net/players/3-fm-23/43274977-moise-kean
131,"€20.00m","Donyell Malen","Borussia Dortmund",Netherlands,"Left Winger",23,https://fminside.net/players/3-fm-23/37055844-donyell-malen
132,"€20.00m","Andrea Pinamonti","US Sassuolo",Italy,Centre-Forward,23,https://fminside.net/players/3-fm-23/43252773-andrea-pinamonti
133,"€20.00m","Mehdi Taremi","FC Porto",Iran,Centre-Forward,30,https://fminside.net/players/3-fm-23/23127918-mehdi-taremi
134,"€20.00m","Taiwo Awoniyi","Nottingham Forest",Nigeria,Centre-Forward,25,https://fminside.net/players/3-fm-23/13136629-taiwo-awoniyi
135,"€20.00m","Jonathan Bamba","LOSC Lille",France,"Left Winger",26,https://fminside.net/players/3-fm-23/29114989-jonathan-bamba
136,"€20.00m","Demarai Gray","Everton FC",England,"Left Winger",26,https://fminside.net/players/3-fm-23/29114887-demarai-gray
137,"€20.00m","Ricardo Horta","SC Braga",Portugal,"Left Winger",28,https://fminside.net/players/3-fm-23/55069796-ricardo-horta
138,"€20.00m","Daniel Podence","Wolverhampton Wanderers",Portugal,"Right Winger",27,https://fminside.net/players/3-fm-23/55063406-daniel-podence
139,"€20.00m","Breel Embolo","AS Monaco",Switzerland,Centre-Forward,25,https://fminside.net/players/3-fm-23/98029385-breel-embolo
140,"€20.00m","Joaquín Correa","Inter Milan",Argentina,"Second Striker",28,https://fminside.net/players/3-fm-23/14042683-joaquin-correa
141,"€20.00m","Memphis Depay","FC Barcelona",Netherlands,Centre-Forward,28,https://fminside.net/players/3-fm-23/37024470-memphis-depay
142,"€20.00m","Matteo Politano","SSC Napoli",Italy,"Right Winger",29,https://fminside.net/players/3-fm-23/43093382-matteo-politano
143,"€20.00m","Wissam Ben Yedder","AS Monaco",France,Centre-Forward,32,https://fminside.net/players/3-fm-23/85071175-wissam-ben-yedder
144,"€20.00m","Pablo Sarabia","Paris Saint-Germain",Spain,"Right Winger",30,https://fminside.net/players/3-fm-23/67045428-pablo-sarabia
145,"€20.00m","Cristiano Ronaldo","Al-Nassr FC",Portugal,Centre-Forward,37,https://fminside.net/players/3-fm-23/735216-cristiano-ronaldo
146,"€18.00m","Kamaldeen Sulemana","Stade Rennais FC",Ghana,"Left Winger",20,https://fminside.net/players/3-fm-23/29244869-kamaldeen-sulemana
147,"€18.00m","Elye Wahi","Montpellier HSC",France,Centre-Forward,20,https://fminside.net/players/3-fm-23/49061868-elye-wahi
148,"€18.00m","Rayan Cherki","Olympique Lyon",France,"Right Winger",19,https://fminside.net/players/3-fm-23/49056279-rayan-cherki
149,"€18.00m","Dwight McNeil","Everton FC",England,"Left Winger",23,https://fminside.net/players/3-fm-23/28110488-dwight-mcneil
150,"€18.00m","Sofiane Diop","OGC Nice",France,"Left Winger",22,https://fminside.net/players/3-fm-23/49037827-sofiane-diop
151,"€18.00m","Jérémy Doku","Stade Rennais FC",Belgium,"Right Winger",20,https://fminside.net/players/3-fm-23/18106083-jeremy-doku
152,"€18.00m","Manor Solomon","Fulham FC",Israel,"Left Winger",23,https://fminside.net/players/3-fm-23/42077304-manor-solomon
153,"€18.00m","Sasa Kalajdzic","Wolverhampton Wanderers",Austria,Centre-Forward,25,https://fminside.net/players/3-fm-23/16197824-saa-kalajdic
154,"€18.00m","Eddie Nketiah","Arsenal FC",England,Centre-Forward,23,https://fminside.net/players/3-fm-23/28106687-eddie-nketiah
155,"€18.00m","Umar Sadiq","Real Sociedad",Nigeria,Centre-Forward,25,https://fminside.net/players/3-fm-23/43195181-umar-sadiq
156,"€18.00m","Lukas Nmecha","VfL Wolfsburg",Germany,Centre-Forward,24,https://fminside.net/players/3-fm-23/28106360-lukas-nmecha
157,"€18.00m","Dominic Solanke","AFC Bournemouth",England,Centre-Forward,25,https://fminside.net/players/3-fm-23/29125191-dominic-solanke
158,"€18.00m","Moussa Dembélé","Olympique Lyon",France,Centre-Forward,26,https://fminside.net/players/3-fm-23/85104422-moussa-dembele
159,"€18.00m","Lucas Ocampos","Ajax Amsterdam",Argentina,"Left Winger",28,https://fminside.net/players/3-fm-23/14031132-lucas-ocampos
160,"€18.00m","Callum Wilson","Newcastle United",England,Centre-Forward,30,https://fminside.net/players/3-fm-23/28030268-callum-wilson
161,"€18.00m","Philippe Coutinho","Aston Villa",Brazil,"Left Winger",30,https://fminside.net/players/3-fm-23/19046041-philippe-coutinho
162,"€18.00m","Duván Zapata","Atalanta BC",Colombia,Centre-Forward,31,https://fminside.net/players/3-fm-23/76014012-duvan-zapata
163,"€18.00m","Thomas Müller","Bayern Munich",Germany,"Second Striker",33,https://fminside.net/players/3-fm-23/35011448-thomas-muller
164,"€17.50m","Mauro Icardi",Galatasaray,Argentina,Centre-Forward,29,https://fminside.net/players/3-fm-23/67046662-mauro-icardi
165,"€17.00m","Keane Lewis-Potter","Brentford FC",England,"Left Winger",21,https://fminside.net/players/3-fm-23/28113414-keane-lewis-potter
166,"€17.00m","Odsonne Edouard","Crystal Palace",France,Centre-Forward,24,https://fminside.net/players/3-fm-23/48036880-odsonne-edouard
167,"€17.00m","Cengiz Ünder","Olympique Marseille",Turkey,"Right Winger",25,https://fminside.net/players/3-fm-23/70096289-cengiz-under
168,"€17.00m","Kelechi Iheanacho","Leicester City",Nigeria,Centre-Forward,26,https://fminside.net/players/3-fm-23/13136621-kelechi-iheanacho
169,"€17.00m","Giovanni Simeone","SSC Napoli",Argentina,Centre-Forward,27,https://fminside.net/players/3-fm-23/14031138-giovanni-simeone
170,"€17.00m","Harry Wilson","Fulham FC",Wales,"Right Winger",25,https://fminside.net/players/3-fm-23/28094949-harry-wilson
171,"€16.00m","Samuel Lino","Valencia CF",Brazil,"Left Winger",23,https://fminside.net/players/3-fm-23/19320258-samuel-lino
172,"€16.00m","Georginio Rutter","TSG 1899 Hoffenheim",France,Centre-Forward,20,https://fminside.net/players/3-fm-23/49048380-georginio-rutter
173,"€16.00m","Yuri Alberto","Sport Club Corinthians Paulista",Brazil,Centre-Forward,21,https://fminside.net/players/3-fm-23/19326424-yuri-alberto
174,"€16.00m","Ben Brereton Díaz","Blackburn Rovers",Chile,Centre-Forward,23,https://fminside.net/players/3-fm-23/29159400-ben-brereton-diaz
175,"€16.00m","Jesper Karlsson","AZ Alkmaar",Sweden,"Left Winger",24,https://fminside.net/players/3-fm-23/93070929-jesper-karlsson
176,"€16.00m","Jonathan Ikoné","ACF Fiorentina",France,"Right Winger",24,https://fminside.net/players/3-fm-23/85145148-jonathan-ikone
177,"€16.00m","Rafael Borré","Eintracht Frankfurt",Colombia,Centre-Forward,27,N/A
178,"€16.00m","Daniel James","Fulham FC",Wales,"Right Winger",25,https://fminside.net/players/3-fm-23/28094856-daniel-james
179,"€16.00m","Danny Ings","Aston Villa",England,Centre-Forward,30,https://fminside.net/players/3-fm-23/29030379-danny-ings
180,"€16.00m","Gerard Deulofeu","Udinese Calcio",Spain,Centre-Forward,28,https://fminside.net/players/3-fm-23/67107391-gerard-deulofeu
181,"€16.00m","Kevin Volland","AS Monaco",Germany,Centre-Forward,30,https://fminside.net/players/3-fm-23/91014650-kevin-volland
182,"€15.00m","Luiz Henrique","Real Betis Balompié",Brazil,"Right Winger",22,https://fminside.net/players/3-fm-23/19377206-luiz-henrique
183,"€15.00m","Nicolas Jackson","Villarreal CF",Senegal,Centre-Forward,21,https://fminside.net/players/3-fm-23/18004457-kevin-de-bruyne
184,"€15.00m","Talles Magno","New York City FC",Brazil,"Left Winger",20,https://fminside.net/players/3-fm-23/19362860-talles-magno
185,"€15.00m","Momo Cho","Real Sociedad",France,Centre-Forward,18,N/A
186,"€15.00m","Rasmus Höjlund","Atalanta BC",Denmark,Centre-Forward,19,N/A
187,"€15.00m",Vitinha,"SC Braga",Portugal,Centre-Forward,22,https://fminside.net/players/3-fm-23/83174762-vitinha
188,"€15.00m","Adam Hlozek","Bayer 04 Leverkusen","Czech Republic","Left Winger",20,https://fminside.net/players/3-fm-23/31041522-adam-hloek
189,"€15.00m","Álex Baena","Villarreal CF",Spain,"Left Winger",21,https://fminside.net/players/3-fm-23/67287665-alex-baena
190,"€15.00m","Mikkel Damsgaard","Brentford FC",Denmark,"Left Winger",22,https://fminside.net/players/3-fm-23/27128917-mikkel-damsgaard
191,"€15.00m","Terem Moffi","FC Lorient",Nigeria,Centre-Forward,23,https://fminside.net/players/3-fm-23/47079007-terem-moffi
192,"€15.00m","Noni Madueke","PSV Eindhoven",England,"Right Winger",20,https://fminside.net/players/3-fm-23/37076092-noni-madueke
193,"€15.00m",Galeno,"FC Porto",Brazil,"Left Winger",25,https://fminside.net/players/3-fm-23/83152910-galeno
194,"€15.00m","Youssef En-Nesyri","Sevilla FC",Morocco,Centre-Forward,25,https://fminside.net/players/3-fm-23/67229630-youssef-en-nesyri
195,"€15.00m","Yoane Wissa","Brentford FC","DR Congo","Left Winger",26,https://fminside.net/players/3-fm-23/85140175-yoane-wissa
196,"€15.00m","Alexis Saelemaekers","AC Milan",Belgium,"Right Winger",23,https://fminside.net/players/3-fm-23/18097159-alexis-saelemaekers
197,"€15.00m","Ritsu Doan","SC Freiburg",Japan,"Right Winger",24,https://fminside.net/players/3-fm-23/45095577-ritsu-doan
198,"€15.00m","Noa Lang","Club Brugge KV",Netherlands,"Left Winger",23,https://fminside.net/players/3-fm-23/37055842-noa-lang
199,"€15.00m","Álex Berenguer","Athletic Bilbao",Spain,"Left Winger",27,https://fminside.net/players/3-fm-23/67157520-alex-berenguer
200,"€15.00m","Jonathan Burkardt","1.FSV Mainz 05",Germany,Centre-Forward,22,https://fminside.net/players/3-fm-23/91170086-jonathan-burkardt
201,"€15.00m","Sebastián Driussi","Austin FC",Argentina,"Second Striker",26,https://fminside.net/players/3-fm-23/14043242-sebastian-driussi
