column_1,value,name,club,nation,position,age
33,"€55.00m","Romelu Lukaku","Inter Milan",Belgium,Centre-Forward,29
34,"€50.00m","Julián Álvarez","Manchester City",Argentina,Centre-Forward,22
35,"€50.00m","Ansu Fati","FC Barcelona",Spain,"Left Winger",20
36,"€50.00m","João Félix","Atlético de Madrid",Portugal,"Second Striker",23
37,"€50.00m","Dejan Kulusevski","Tottenham Hotspur",Sweden,"Right Winger",22
38,"€50.00m",Raphinha,"FC Barcelona",Brazil,"Right Winger",26
39,"€50.00m","Moussa Diaby","Bayer 04 Leverkusen",France,"Left Winger",23
40,"€50.00m","Alexander Isak","Newcastle United",Sweden,Centre-Forward,23
41,"€50.00m","Lionel Messi","Paris Saint-Germain",Argentina,"Right Winger",35
42,"€45.00m","Jonathan David","LOSC Lille",Canada,Centre-Forward,22
43,"€45.00m","Tammy Abraham","AS Roma",England,Centre-Forward,25
44,"€45.00m","Ivan Toney","Brentford FC",England,Centre-Forward,26
45,"€45.00m","Robert Lewandowski","FC Barcelona",Poland,Centre-Forward,34
46,"€42.00m","Jarrod Bowen","West Ham United",England,"Right Winger",26
47,"€40.00m","Mykhaylo Mudryk","Shakhtar Donetsk",Ukraine,"Left Winger",21
48,"€40.00m","Anthony Gordon","Everton FC",England,"Left Winger",21
49,"€40.00m","Allan Saint-Maximin","Newcastle United",France,"Left Winger",25
50,"€40.00m","Ángel Correa","Atlético de Madrid",Argentina,"Right Winger",27
51,"€38.00m","Yéremy Pino","Villarreal CF",Spain,"Right Winger",20
52,"€38.00m","Amine Gouiri","Stade Rennais FC",France,Centre-Forward,22
53,"€38.00m","Christian Pulisic","Chelsea FC","United States","Right Winger",24
54,"€38.00m","Patrik Schick","Bayer 04 Leverkusen","Czech Republic",Centre-Forward,26
55,"€37.00m","Randal Kolo Muani","Eintracht Frankfurt",France,Centre-Forward,24
56,"€35.00m","Karim Adeyemi","Borussia Dortmund",Germany,"Right Winger",20
57,"€35.00m","Martin Terrier","Stade Rennais FC",France,"Left Winger",25
58,"€35.00m","Giacomo Raspadori","SSC Napoli",Italy,"Second Striker",22
59,"€35.00m","Ferran Torres","FC Barcelona",Spain,"Left Winger",22
60,"€35.00m","Arnaut Danjuma","Villarreal CF",Netherlands,Centre-Forward,25
61,"€35.00m","Sébastien Haller","Borussia Dortmund","Cote d'Ivoire",Centre-Forward,28
62,"€35.00m","Gerard Moreno","Villarreal CF",Spain,Centre-Forward,30
63,"€35.00m","Karim Benzema","Real Madrid",France,Centre-Forward,35
64,"€32.00m","Pedro Neto","Wolverhampton Wanderers",Portugal,"Left Winger",22
65,"€32.00m","Ollie Watkins","Aston Villa",England,Centre-Forward,27
66,"€32.00m","Marcus Thuram","Borussia Mönchengladbach",France,Centre-Forward,25
67,"€32.00m","Gonçalo Guedes","Wolverhampton Wanderers",Portugal,"Left Winger",26
68,"€32.00m","Wilfried Zaha","Crystal Palace","Cote d'Ivoire","Left Winger",30
69,"€30.00m","Armando Broja","Chelsea FC",Albania,Centre-Forward,21
70,"€30.00m","Gonçalo Ramos","SL Benfica",Portugal,Centre-Forward,21
71,"€30.00m","Youssoufa Moukoko","Borussia Dortmund",Germany,Centre-Forward,18
72,"€30.00m","Pedro Gonçalves","Sporting CP",Portugal,"Left Winger",24
73,"€30.00m","Gianluca Scamacca","West Ham United",Italy,Centre-Forward,24
74,"€30.00m","Dominic Calvert-Lewin","Everton FC",England,Centre-Forward,25
75,"€30.00m",Otávio,"FC Porto",Portugal,"Right Winger",27
76,"€30.00m","Paulo Dybala","AS Roma",Argentina,"Second Striker",29
77,"€30.00m","Riyad Mahrez","Manchester City",Algeria,"Right Winger",31
78,"€30.00m","Leandro Trossard","Brighton & Hove Albion",Belgium,"Left Winger",28
79,"€30.00m","Yannick Carrasco","Atlético de Madrid",Belgium,"Left Winger",29
80,"€28.00m","Bryan Mbeumo","Brentford FC",Cameroon,"Right Winger",23
81,"€28.00m","Emiliano Buendía","Aston Villa",Argentina,"Right Winger",26
82,"€28.00m","Hirving Lozano","SSC Napoli",Mexico,"Right Winger",27
83,"€28.00m","Roberto Firmino","Liverpool FC",Brazil,Centre-Forward,31
84,"€28.00m","Aleksandar Mitrović","Fulham FC",Serbia,Centre-Forward,28
85,"€27.00m","Steven Bergwijn","Ajax Amsterdam",Netherlands,"Left Winger",25
86,"€25.00m","Hugo Ekitiké","Paris Saint-Germain",France,Centre-Forward,20
87,"€25.00m","Nico Williams","Athletic Bilbao",Spain,"Right Winger",20
88,"€25.00m","Arnaud Kalimuendo","Stade Rennais FC",France,Centre-Forward,20
89,"€25.00m","Anthony Elanga","Manchester United",Sweden,"Left Winger",20
90,"€25.00m","Jack Harrison","Leeds United",England,"Left Winger",26
91,"€25.00m","Callum Hudson-Odoi","Bayer 04 Leverkusen",England,"Left Winger",22
92,"€25.00m","Leon Bailey","Aston Villa",Jamaica,"Left Winger",25
93,"€25.00m",Tetê,"Olympique Lyon",Brazil,"Right Winger",22
94,"€25.00m","Noah Okafor","Red Bull Salzburg",Switzerland,Centre-Forward,22
95,"€25.00m","Marcus Edwards","Sporting CP",England,"Right Winger",24
96,"€25.00m","Marco Asensio","Real Madrid",Spain,"Right Winger",26
97,"€25.00m","Borja Iglesias","Real Betis Balompié",Spain,Centre-Forward,29
98,"€25.00m","Iñaki Williams","Athletic Bilbao",Ghana,Centre-Forward,28
99,"€25.00m","Enes Ünal","Getafe CF",Turkey,Centre-Forward,25
100,"€25.00m","Timo Werner","RB Leipzig",Germany,Centre-Forward,26
101,"€25.00m","Álvaro Morata","Atlético de Madrid",Spain,Centre-Forward,30
102,"€25.00m","Antoine Griezmann","Atlético de Madrid",France,"Second Striker",31
103,"€24.00m",Malcom,"Zenit St. Petersburg",Brazil,"Right Winger",25
104,"€24.00m","André Silva","RB Leipzig",Portugal,Centre-Forward,27
105,"€23.00m","Nicolás González","ACF Fiorentina",Argentina,"Left Winger",24
106,"€23.00m","Rafa Silva","SL Benfica",Portugal,"Second Striker",29
107,"€23.00m","Domenico Berardi","US Sassuolo",Italy,"Right Winger",28
108,"€23.00m","Ciro Immobile","SS Lazio",Italy,Centre-Forward,32
109,"€22.00m",Evanilson,"FC Porto",Brazil,Centre-Forward,23
110,"€22.00m","Luis Sinisterra","Leeds United",Colombia,"Left Winger",23
111,"€22.00m","David Neres","SL Benfica",Brazil,"Right Winger",25
112,"€22.00m","Ismaïla Sarr","Watford FC",Senegal,"Right Winger",24
113,"€22.00m","Ché Adams","Southampton FC",Scotland,Centre-Forward,26
114,"€22.00m","Nicolas Pépé","OGC Nice","Cote d'Ivoire","Right Winger",27
115,"€22.00m","Saïd Benrahma","West Ham United",Algeria,"Left Winger",27
116,"€22.00m","Mattia Zaccagni","SS Lazio",Italy,"Left Winger",27
117,"€22.00m","Viktor Tsygankov","Dynamo Kyiv",Ukraine,"Right Winger",25
118,"€22.00m","Gabriel Barbosa","CR Flamengo",Brazil,Centre-Forward,26
119,"€20.00m",Endrick,"Sociedade Esportiva Palmeiras",Brazil,Centre-Forward,16
120,"€20.00m","Mathys Tel","Bayern Munich",France,Centre-Forward,17
121,"€20.00m","Benjamin Sesko","Red Bull Salzburg",Slovenia,Centre-Forward,19
122,"€20.00m","João Pedro","Watford FC",Brazil,Centre-Forward,21
123,"€20.00m","Matheus Cunha","Wolverhampton Wanderers",Brazil,Centre-Forward,23
124,"€20.00m","Brennan Johnson","Nottingham Forest",Wales,"Second Striker",21
125,"€20.00m",Pedro,"CR Flamengo",Brazil,Centre-Forward,25
126,"€20.00m","Francisco Trincão","Sporting CP",Portugal,"Right Winger",23
127,"€20.00m","Ademola Lookman","Atalanta BC",Nigeria,"Left Winger",25
128,"€20.00m","Samuel Chukwueze","Villarreal CF",Nigeria,"Right Winger",23
129,"€20.00m","Patson Daka","Leicester City",Zambia,Centre-Forward,24
130,"€20.00m","Moise Kean","Juventus FC",Italy,Centre-Forward,22
131,"€20.00m","Donyell Malen","Borussia Dortmund",Netherlands,"Left Winger",23
132,"€20.00m","Andrea Pinamonti","US Sassuolo",Italy,Centre-Forward,23
133,"€20.00m","Mehdi Taremi","FC Porto",Iran,Centre-Forward,30
134,"€20.00m","Taiwo Awoniyi","Nottingham Forest",Nigeria,Centre-Forward,25
135,"€20.00m","Jonathan Bamba","LOSC Lille",France,"Left Winger",26
136,"€20.00m","Demarai Gray","Everton FC",England,"Left Winger",26
137,"€20.00m","Ricardo Horta","SC Braga",Portugal,"Left Winger",28
138,"€20.00m","Daniel Podence","Wolverhampton Wanderers",Portugal,"Right Winger",27
139,"€20.00m","Breel Embolo","AS Monaco",Switzerland,Centre-Forward,25
140,"€20.00m","Joaquín Correa","Inter Milan",Argentina,"Second Striker",28
141,"€20.00m","Memphis Depay","FC Barcelona",Netherlands,Centre-Forward,28
142,"€20.00m","Matteo Politano","SSC Napoli",Italy,"Right Winger",29
143,"€20.00m","Wissam Ben Yedder","AS Monaco",France,Centre-Forward,32
144,"€20.00m","Pablo Sarabia","Paris Saint-Germain",Spain,"Right Winger",30
145,"€20.00m","Cristiano Ronaldo","Al-Nassr FC",Portugal,Centre-Forward,37
146,"€18.00m","Kamaldeen Sulemana","Stade Rennais FC",Ghana,"Left Winger",20
147,"€18.00m","Elye Wahi","Montpellier HSC",France,Centre-Forward,20
148,"€18.00m","Rayan Cherki","Olympique Lyon",France,"Right Winger",19
149,"€18.00m","Dwight McNeil","Everton FC",England,"Left Winger",23
150,"€18.00m","Sofiane Diop","OGC Nice",France,"Left Winger",22
151,"€18.00m","Jérémy Doku","Stade Rennais FC",Belgium,"Right Winger",20
152,"€18.00m","Manor Solomon","Fulham FC",Israel,"Left Winger",23
153,"€18.00m","Sasa Kalajdzic","Wolverhampton Wanderers",Austria,Centre-Forward,25
154,"€18.00m","Eddie Nketiah","Arsenal FC",England,Centre-Forward,23
155,"€18.00m","Umar Sadiq","Real Sociedad",Nigeria,Centre-Forward,25
156,"€18.00m","Lukas Nmecha","VfL Wolfsburg",Germany,Centre-Forward,24
157,"€18.00m","Dominic Solanke","AFC Bournemouth",England,Centre-Forward,25
158,"€18.00m","Moussa Dembélé","Olympique Lyon",France,Centre-Forward,26
159,"€18.00m","Lucas Ocampos","Ajax Amsterdam",Argentina,"Left Winger",28
160,"€18.00m","Callum Wilson","Newcastle United",England,Centre-Forward,30
161,"€18.00m","Philippe Coutinho","Aston Villa",Brazil,"Left Winger",30
162,"€18.00m","Duván Zapata","Atalanta BC",Colombia,Centre-Forward,31
163,"€18.00m","Thomas Müller","Bayern Munich",Germany,"Second Striker",33
164,"€17.50m","Mauro Icardi",Galatasaray,Argentina,Centre-Forward,29
165,"€17.00m","Keane Lewis-Potter","Brentford FC",England,"Left Winger",21
166,"€17.00m","Odsonne Edouard","Crystal Palace",France,Centre-Forward,24
167,"€17.00m","Cengiz Ünder","Olympique Marseille",Turkey,"Right Winger",25
168,"€17.00m","Kelechi Iheanacho","Leicester City",Nigeria,Centre-Forward,26
169,"€17.00m","Giovanni Simeone","SSC Napoli",Argentina,Centre-Forward,27
170,"€17.00m","Harry Wilson","Fulham FC",Wales,"Right Winger",25
171,"€16.00m","Samuel Lino","Valencia CF",Brazil,"Left Winger",23
172,"€16.00m","Georginio Rutter","TSG 1899 Hoffenheim",France,Centre-Forward,20
173,"€16.00m","Yuri Alberto","Sport Club Corinthians Paulista",Brazil,Centre-Forward,21
174,"€16.00m","Ben Brereton Díaz","Blackburn Rovers",Chile,Centre-Forward,23
175,"€16.00m","Jesper Karlsson","AZ Alkmaar",Sweden,"Left Winger",24
176,"€16.00m","Jonathan Ikoné","ACF Fiorentina",France,"Right Winger",24
177,"€16.00m","Rafael Borré","Eintracht Frankfurt",Colombia,Centre-Forward,27
178,"€16.00m","Daniel James","Fulham FC",Wales,"Right Winger",25
179,"€16.00m","Danny Ings","Aston Villa",England,Centre-Forward,30
180,"€16.00m","Gerard Deulofeu","Udinese Calcio",Spain,Centre-Forward,28
181,"€16.00m","Kevin Volland","AS Monaco",Germany,Centre-Forward,30
182,"€15.00m","Luiz Henrique","Real Betis Balompié",Brazil,"Right Winger",22
183,"€15.00m","Nicolas Jackson","Villarreal CF",Senegal,Centre-Forward,21
184,"€15.00m","Talles Magno","New York City FC",Brazil,"Left Winger",20
185,"€15.00m","Momo Cho","Real Sociedad",France,Centre-Forward,18
186,"€15.00m","Rasmus Höjlund","Atalanta BC",Denmark,Centre-Forward,19
187,"€15.00m",Vitinha,"SC Braga",Portugal,Centre-Forward,22
188,"€15.00m","Adam Hlozek","Bayer 04 Leverkusen","Czech Republic","Left Winger",20
189,"€15.00m","Álex Baena","Villarreal CF",Spain,"Left Winger",21
190,"€15.00m","Mikkel Damsgaard","Brentford FC",Denmark,"Left Winger",22
191,"€15.00m","Terem Moffi","FC Lorient",Nigeria,Centre-Forward,23
192,"€15.00m","Noni Madueke","PSV Eindhoven",England,"Right Winger",20
193,"€15.00m",Galeno,"FC Porto",Brazil,"Left Winger",25
194,"€15.00m","Youssef En-Nesyri","Sevilla FC",Morocco,Centre-Forward,25
195,"€15.00m","Yoane Wissa","Brentford FC","DR Congo","Left Winger",26
196,"€15.00m","Alexis Saelemaekers","AC Milan",Belgium,"Right Winger",23
197,"€15.00m","Ritsu Doan","SC Freiburg",Japan,"Right Winger",24
198,"€15.00m","Noa Lang","Club Brugge KV",Netherlands,"Left Winger",23
199,"€15.00m","Álex Berenguer","Athletic Bilbao",Spain,"Left Winger",27
200,"€15.00m","Jonathan Burkardt","1.FSV Mainz 05",Germany,Centre-Forward,22
201,"€15.00m","Sebastián Driussi","Austin FC",Argentina,"Second Striker",26
202,"€15.00m","Paul Onuachu","KRC Genk",Nigeria,Centre-Forward,28
203,"€15.00m","Adam Armstrong","Southampton FC",England,Centre-Forward,25
204,"€15.00m","Maxwel Cornet","West Ham United","Cote d'Ivoire","Left Winger",26
205,"€15.00m","Jérémie Boga","Atalanta BC","Cote d'Ivoire","Left Winger",26
206,"€15.00m","Adama Traoré","Wolverhampton Wanderers",Spain,"Right Winger",26
207,"€15.00m","Sheraldo Becker","1.FC Union Berlin",Suriname,"Second Striker",27
208,"€15.00m","Anthony Martial","Manchester United",France,Centre-Forward,27
209,"€15.00m","Andrea Belotti","AS Roma",Italy,Centre-Forward,29
210,"€15.00m","Alassane Plea","Borussia Mönchengladbach",France,"Left Winger",29
211,"€15.00m","Felipe Anderson","SS Lazio",Brazil,"Right Winger",29
212,"€15.00m","Lorenzo Insigne","Toronto FC",Italy,"Left Winger",31
213,"€15.00m",Juanmi,"Real Betis Balompié",Spain,"Left Winger",29
214,"€14.00m","Marcos Leonardo","Santos FC",Brazil,Centre-Forward,19
215,"€14.00m","Ferran Jutglà","Club Brugge KV",Spain,Centre-Forward,23
216,"€14.00m","Armand Laurienté","US Sassuolo",France,"Left Winger",24
217,"€14.00m","Folarin Balogun","Stade Reims",England,Centre-Forward,21
218,"€14.00m","Brian Brobbey","Ajax Amsterdam",Netherlands,Centre-Forward,20
219,"€14.00m","Jonas Wind","VfL Wolfsburg",Denmark,Centre-Forward,23
220,"€14.00m","Justin Kluivert","Valencia CF",Netherlands,"Left Winger",23
221,"€14.00m","Diego Rossi",Fenerbahce,Uruguay,"Left Winger",24
222,"€14.00m","Ryan Kent","Rangers FC",England,"Left Winger",26
223,"€14.00m","David Brooks","AFC Bournemouth",Wales,"Right Winger",25
224,"€14.00m","Luka Jović","ACF Fiorentina",Serbia,Centre-Forward,25
225,"€14.00m","Wout Weghorst","Besiktas JK",Netherlands,Centre-Forward,30
226,"€14.00m","Gaëtan Laborde","OGC Nice",France,Centre-Forward,28
227,"€14.00m","Bertrand Traoré","Basaksehir FK","Burkina Faso","Right Winger",27
228,"€14.00m",Tecatito,"Sevilla FC",Mexico,"Right Winger",29
229,"€14.00m","Erik Lamela","Sevilla FC",Argentina,"Right Winger",30
230,"€13.00m","Ângelo Gabriel","Santos FC",Brazil,"Right Winger",18
231,"€13.00m",Beto,"Udinese Calcio",Portugal,Centre-Forward,24
232,"€13.00m","Fábio Silva","RSC Anderlecht",Portugal,Centre-Forward,20
233,"€13.00m","Krépin Diatta","AS Monaco",Senegal,"Right Winger",23
234,"€13.00m","Kerem Aktürkoglu",Galatasaray,Turkey,"Left Winger",24
235,"€13.00m","Christian Kouamé","ACF Fiorentina","Cote d'Ivoire",Centre-Forward,25
236,"€13.00m","Neal Maupay","Everton FC",France,Centre-Forward,26
237,"€13.00m","Ante Rebic","AC Milan",Croatia,"Left Winger",29
238,"€13.00m","Jonas Hofmann","Borussia Mönchengladbach",Germany,"Right Winger",30
239,"€12.00m","Tajon Buchanan","Club Brugge KV",Canada,"Right Winger",23
240,"€12.00m","Gabriel Veron","FC Porto",Brazil,"Left Winger",20
241,"€12.00m","Boulaye Dia","US Salernitana 1919",Senegal,Centre-Forward,26
242,"€12.00m","Sékou Mara","Southampton FC",France,Centre-Forward,20
243,"€12.00m","Bryan Gil","Tottenham Hotspur",Spain,"Left Winger",21
244,"€12.00m","Amine Adli","Bayer 04 Leverkusen",France,"Right Winger",22
245,"€12.00m",Pedrinho,"Clube Atlético Mineiro",Brazil,"Right Winger",24
246,"€12.00m","Musa Barrow","Bologna FC 1909","The Gambia","Left Winger",24
247,"€12.00m","Kevin Schade","SC Freiburg",Germany,"Right Winger",21
248,"€12.00m","Emmanuel Dennis","Nottingham Forest",Nigeria,Centre-Forward,25
249,"€12.00m","Takefusa Kubo","Real Sociedad",Japan,"Right Winger",21
250,"€12.00m","Josh Sargent","Norwich City","United States",Centre-Forward,22
251,"€12.00m","Arthur Cabral","ACF Fiorentina",Brazil,Centre-Forward,24
252,"€12.00m","Timothy Weah","LOSC Lille","United States","Right Winger",22
253,"€12.00m","Loïs Openda","RC Lens",Belgium,Centre-Forward,22
254,"€12.00m","Rafa Mir","Sevilla FC",Spain,Centre-Forward,25
255,"€12.00m","Habib Diallo","RC Strasbourg Alsace",Senegal,Centre-Forward,27
256,"€12.00m","Roland Sallai","SC Freiburg",Hungary,"Right Winger",25
257,"€12.00m",Éverton,"CR Flamengo",Brazil,"Left Winger",26
258,"€12.00m","Karl Toko Ekambi","Olympique Lyon",Cameroon,"Left Winger",30
259,"€12.00m","Dodi Lukébakio","Hertha BSC",Belgium,"Right Winger",25
260,"€12.00m","Hee-chan Hwang","Wolverhampton Wanderers","Korea, South",Centre-Forward,26
261,"€12.00m","Kasper Dolberg","TSG 1899 Hoffenheim",Denmark,Centre-Forward,25
262,"€12.00m","Sergi Canós","Brentford FC",Spain,"Right Winger",25
263,"€12.00m","Roman Yaremchuk","Club Brugge KV",Ukraine,Centre-Forward,27
264,"€12.00m","Raúl Jiménez","Wolverhampton Wanderers",Mexico,Centre-Forward,31
265,"€12.00m","Mohamed Elyounoussi","Southampton FC",Norway,"Left Winger",28
266,"€12.00m","Vincenzo Grifo","SC Freiburg",Italy,"Left Winger",29
267,"€12.00m","Patrick Bamford","Leeds United",England,Centre-Forward,29
268,"€12.00m","Sardar Azmoun","Bayer 04 Leverkusen",Iran,Centre-Forward,28
269,"€12.00m","Raúl de Tomás","Rayo Vallecano",Spain,Centre-Forward,28
270,"€12.00m","Andy Delort","OGC Nice",Algeria,Centre-Forward,31
271,"€12.00m","Luis Muriel","Atalanta BC",Colombia,Centre-Forward,31
272,"€12.00m",Dudu,"Sociedade Esportiva Palmeiras",Brazil,"Left Winger",30
273,"€12.00m","Alexandre Lacazette","Olympique Lyon",France,Centre-Forward,31
274,"€12.00m","Julian Draxler","SL Benfica",Germany,"Left Winger",29
275,"€12.00m","Lucas Moura","Tottenham Hotspur",Brazil,"Right Winger",30
276,"€12.00m","Pierre-Emerick Aubameyang","Chelsea FC",Gabon,Centre-Forward,33
277,"€11.00m","Vitor Roque","Club Athletico Paranaense",Brazil,Centre-Forward,17
278,"€11.00m","Julio Enciso","Brighton & Hove Albion",Paraguay,"Second Striker",18
279,"€11.00m","Joshua Zirkzee","Bologna FC 1909",Netherlands,Centre-Forward,21
280,"€11.00m","Jörgen Strand Larsen","Celta de Vigo",Norway,Centre-Forward,22
281,"€11.00m","Calvin Stengs","Royal Antwerp FC",Netherlands,"Right Winger",24
282,"€11.00m",Jota,"Celtic FC",Portugal,"Left Winger",23
283,"€11.00m","Krzysztof Piatek","US Salernitana 1919",Poland,Centre-Forward,27
284,"€11.00m","Ludovic Ajorque","RC Strasbourg Alsace",France,Centre-Forward,28
285,"€11.00m","Ihlas Bebou","TSG 1899 Hoffenheim",Togo,Centre-Forward,28
286,"€11.00m","Jhon Córdoba","FK Krasnodar",Colombia,Centre-Forward,29
287,"€11.00m","Quincy Promes","Spartak Moscow",Netherlands,"Left Winger",30
288,"€11.00m","Nathan Redmond","Besiktas JK",England,"Left Winger",28
289,"€10.00m","Dango Ouattara","FC Lorient","Burkina Faso","Right Winger",20
290,"€10.00m",Marquinhos,"Arsenal FC",Brazil,"Right Winger",19
291,"€10.00m",Kayky,"FC Paços de Ferreira",Brazil,"Right Winger",19
292,"€10.00m","El Bilal Touré","UD Almería",Mali,Centre-Forward,21
293,"€10.00m","Wilfried Gnonto","Leeds United",Italy,"Second Striker",19
294,"€10.00m","Mohamed Bayo","LOSC Lille",Guinea,Centre-Forward,24
295,"€10.00m",Fernando,"Red Bull Salzburg",Brazil,Centre-Forward,23
296,"€10.00m","Moussa Djenepo","Southampton FC",Mali,"Left Winger",24
297,"€10.00m","Cucho Hernández","Columbus Crew",Colombia,Centre-Forward,23
298,"€10.00m",Artur,"Red Bull Bragantino",Brazil,"Right Winger",24
299,"€10.00m","Ansgar Knauff","Eintracht Frankfurt",Germany,"Right Winger",20
300,"€10.00m","Myron Boadu","AS Monaco",Netherlands,Centre-Forward,21
301,"€10.00m","Jakub Kaminski","VfL Wolfsburg",Poland,"Left Winger",20
302,"€10.00m",Rony,"Sociedade Esportiva Palmeiras",Brazil,Centre-Forward,27
303,"€10.00m",Jordan,"1.FC Union Berlin","United States",Centre-Forward,26
304,"€10.00m","Artem Dovbyk","SK Dnipro-1",Ukraine,Centre-Forward,25
305,"€10.00m","Alfredo Morelos","Rangers FC",Colombia,Centre-Forward,26
306,"€10.00m","Nuno Santos","Sporting CP",Portugal,"Left Winger",27
307,"€10.00m","Serhou Guirassy","VfB Stuttgart",Guinea,Centre-Forward,26
308,"€10.00m","Gelson Martins","AS Monaco",Portugal,"Right Winger",27
309,"€10.00m","Vedat Muriqi","RCD Mallorca",Kosovo,Centre-Forward,28
310,"€10.00m","Alexander Sörloth","Real Sociedad",Norway,Centre-Forward,27
311,"€10.00m","Mahmoud Trezeguet",Trabzonspor,Egypt,"Left Winger",28
312,"€10.00m","Sofiane Boufal","Angers SCO",Morocco,"Left Winger",29
313,"€10.00m",Paulinho,"Sporting CP",Portugal,Centre-Forward,30
314,"€10.00m","Jacob Murphy","Newcastle United",England,"Right Winger",27
315,"€10.00m","Andrea Petagna","AC Monza",Italy,Centre-Forward,27
316,"€10.00m","Arkadiusz Milik","Juventus FC",Poland,Centre-Forward,28
317,"€10.00m","Florian Thauvin","Tigres UANL",France,"Right Winger",29
318,"€10.00m","Michy Batshuayi",Fenerbahce,Belgium,Centre-Forward,29
319,"€10.00m","Chimy Ávila","CA Osasuna",Argentina,Centre-Forward,28
320,"€10.00m","Takumi Minamino","AS Monaco",Japan,"Left Winger",27
321,"€10.00m","Yussuf Poulsen","RB Leipzig",Denmark,Centre-Forward,28
322,"€10.00m","Divock Origi","AC Milan",Belgium,Centre-Forward,27
323,"€10.00m","Ryan Fraser","Newcastle United",Scotland,"Left Winger",28
324,"€10.00m","Mislav Orsic","GNK Dinamo Zagreb",Croatia,"Left Winger",30
325,"€10.00m","Chris Wood","Newcastle United","New Zealand",Centre-Forward,31
326,"€10.00m","Niclas Füllkrug","SV Werder Bremen",Germany,Centre-Forward,29
327,"€10.00m","Ángel Di María","Juventus FC",Argentina,"Right Winger",34
328,"€9.00m",Giovani,"Sociedade Esportiva Palmeiras",Brazil,"Right Winger",19
329,"€9.00m","Andreas Schjelderup","FC Nordsjaelland",Norway,"Left Winger",18
330,"€9.00m","Ricardo Pepi","FC Groningen","United States",Centre-Forward,19
331,"€9.00m","Taty Castellanos","Girona FC",Argentina,Centre-Forward,24
332,"€9.00m","Largie Ramazani","UD Almería",Belgium,"Left Winger",21
333,"€9.00m","Jan Thielmann","1. FC Köln",Germany,"Right Winger",20
334,"€9.00m","Aleksandr Sobolev","Spartak Moscow",Russia,Centre-Forward,25
335,"€9.00m","Luis Suárez","UD Almería",Colombia,Centre-Forward,25
336,"€9.00m","Jean-Philippe Mateta","Crystal Palace",France,Centre-Forward,25
337,"€9.00m","Riccardo Sottil","ACF Fiorentina",Italy,"Left Winger",23
338,"€9.00m","Junya Ito","Stade Reims",Japan,"Right Winger",29
339,"€9.00m","Anders Dreyer","FC Midtjylland",Denmark,"Right Winger",24
340,"€9.00m","Ermedin Demirovic","FC Augsburg",Bosnia-Herzegovina,Centre-Forward,24
341,"€9.00m","Borja Mayoral","Getafe CF",Spain,Centre-Forward,25
342,"€9.00m","Moses Simon","FC Nantes",Nigeria,"Left Winger",27
